gene_name	Adrenal	Aorta	Esophagus	Fat	Gastric	Liver	Lung	Pancreas	Psoas	Right_ventricle	Colon	Small_intestines
ZNF254	1.0908	0.0	2.8943	2.2459	1.4146	1.964	2.7816	1.3027	0.0	1.2686	0.0	0.0
ZNF256	1.2472	0.0	1.9856	1.3028	1.6351	0.0	1.6616	0.0	1.4334	3.1642	0.0	0.0
ZNF257	0.0	0.0	0.0	1.0231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF260	0.0	0.0	1.75	1.7855	0.0	1.2625	1.5173	0.0	1.9615	1.8102	0.0	0.0
ZNF263	6.1594	3.4922	8.6116	14.0632	5.693	7.1927	15.3425	4.504	7.3757	6.6326	0.0	1.1555
ZNF264	4.5466	1.6131	6.4152	6.0963	2.1775	3.8727	4.1568	0.0	2.1438	1.2535	0.0	0.0
ZNF266	17.8573	10.6064	14.596	12.7559	16.5519	4.7347	18.3001	10.6317	5.8612	8.6806	0.0	2.923
ZNF267	0.0	0.0	3.4654	3.9337	1.2707	1.47	13.2284	0.0	10.2341	2.0597	0.0	0.0
ZNF268	2.0364	1.3495	3.4035	3.2163	1.5623	5.9168	4.6332	0.0	1.7911	1.6661	0.0	0.0
ZNF271	4.6178	2.8126	4.3104	5.5392	3.6417	3.6833	5.265	1.9338	8.1364	8.0096	0.0	1.7431
ZNF273	2.2067	1.1105	4.0699	1.505	3.4561	0.0	2.2208	1.1729	1.1745	0.0	0.0	0.0
ZNF274	4.6834	2.575	10.371	7.6567	6.2233	6.9288	14.0385	3.5495	11.4584	15.5384	0.0	1.8854
ZNF275	15.1401	1.014	1.0827	4.1083	0.0	5.3596	2.2137	1.4158	1.937	2.1937	0.0	0.0
ZNF276	21.4448	6.3003	13.6925	8.0643	9.4974	5.1574	10.773	6.2133	5.0696	5.7468	0.0	3.5434
ZNF277	5.4838	4.1459	8.4461	17.4464	9.5906	6.9957	8.884	3.8853	5.6179	5.4006	1.4027	2.1461
ZNF28	0.0	0.0	2.1103	2.6809	34.7189	0.0	3.6664	0.0	1.6599	1.8125	8.8989	0.0
ZNF280A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF280B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF280C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF280D	8.2728	7.2991	6.6368	13.9781	9.2284	6.1093	8.5252	5.6447	8.4041	6.3114	0.0	1.3987
ZNF281	0.0	0.0	1.1208	3.3379	0.0	4.066	5.7993	0.0	3.0758	1.8947	0.0	0.0
ZNF282	4.6876	2.0763	7.0132	11.6887	3.9954	5.8027	7.4203	3.3612	7.0138	5.3871	0.0	1.5446
ZNF283	0.0	1.1396	1.3677	0.0	0.0	0.0	1.554	0.0	1.2587	1.0608	0.0	0.0
ZNF284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF285	1.0409	0.0	0.0	1.2469	0.0	0.0	0.0	0.0	1.1689	1.2725	0.0	0.0
ZNF286A	3.5346	3.2681	3.7847	2.1585	2.0775	1.2588	2.5602	0.0	2.0691	5.9513	1.2028	0.0
ZNF287	10.3301	1.1882	2.0307	1.5494	1.5377	0.0	1.4224	0.0	1.273	3.5655	0.0	0.0
